sch_mf_chwp_handle,sch_mf_cwp_handle,sch_tchw_handle,sch_tcw_handle
0.974,0.778,5.8,33.6
0.972,0.778,5.6,33.6
0.972,0.778,5.6,33.6
0.972,0.778,5.6,33.6
0.972,0.778,5.4,33.6
0.972,0.778,5.3,33.5
0.972,0.778,5.4,33.5
0.972,0.776,5.4,33.5
0.972,0.776,5.4,33.5
0.972,0.776,5.8,33.6
0.972,0.778,5.8,33.6
0.972,0.778,5.6,33.6
0.972,0.78,5.6,33.6
0.972,0.78,5.4,33.6
0.97,0.778,5.3,33.5
0.972,0.776,5.3,33.5
0.972,0.776,5.3,33.5
0.972,0.774,5.3,33.5
0.972,0.774,5.3,33.5
0.972,0.774,5.4,33.5
0.972,0.774,5.6,33.5
0.972,0.774,5.6,33.6
0.972,0.774,5.4,33.6
0.972,0.774,5.4,33.5
0.972,0.774,5.4,33.6
0.97,0.774,5.1,33.5
0.97,0.772,5.1,33.5
0.97,0.768,5.1,33.5
0.972,0.764,5.3,33.5
0.972,0.764,5.6,33.6
0.972,0.764,5.6,33.6
0.972,0.764,5.6,33.6
0.972,0.764,5.6,33.6
0.972,0.764,5.4,33.6
0.97,0.764,5.3,33.6
0.97,0.764,5.3,33.5
0.97,0.764,5.3,33.5
0.97,0.764,5.3,33.5
0.972,0.764,5.4,33.5
0.972,0.764,5.4,33.5
0.972,0.764,5.6,33.6
0.97,0.766,5.6,33.6
0.972,0.766,5.4,33.5
0.972,0.764,5.4,33.5
0.97,0.76,5.3,33.5
0.97,0.756,5.1,33.5
0.97,0.752,5.1,33.5
0.97,0.748,5.3,33.3
0.968,0.744,5.3,33.3
0.97,0.74,5.3,33.3
0.97,0.736,5.4,33.3
0.97,0.736,5.6,33.3
0.97,0.738,5.6,33.3
0.97,0.738,5.4,33.3
0.97,0.738,5.4,33.3
0.97,0.738,5.4,33.3
0.97,0.738,5.4,33.2
0.97,0.736,5.4,33.2
0.968,0.734,5.3,33.2
0.968,0.734,5.3,33.2
0.97,0.734,5.4,33.2
0.968,0.734,5.4,33.2
0.97,0.734,5.4,33.2
0.97,0.734,5.4,33.2
0.97,0.734,5.4,33.2
0.97,0.734,5.3,33
0.968,0.734,5.4,33.2
0.97,0.734,5.3,33.2
0.97,0.734,5.4,33.2
0.97,0.734,5.4,33.2
0.968,0.734,5.4,33.2
0.97,0.734,5.4,33.2
0.97,0.734,5.4,33.2
0.97,0.734,5.4,33.2
0.97,0.734,5.3,33.2
0.968,0.734,5.3,33
0.968,0.732,5.3,33
0.968,0.732,5.3,33
0.968,0.732,5.3,33
0.97,0.732,5.4,33
0.97,0.732,5.4,33
0.97,0.734,5.4,33
0.968,0.734,5.4,33
0.968,0.734,5.3,33
0.968,0.734,5.1,33
0.968,0.734,5.1,33
0.968,0.73,5.1,33
0.968,0.726,5.1,33
0.968,0.72,5,33
0.966,0.716,5.1,33
0.966,0.708,5.4,33
0.968,0.702,5.6,33
0.966,0.7,5.6,33
0.968,0.7,5.6,33.2
0.966,0.7,5.6,33
0.966,0.7,5.4,33
0.966,0.7,5.3,32.8
0.966,0.7,5.1,32.8
0.966,0.7,5.1,32.7
0.966,0.7,5.1,32.7
0.966,0.7,5.4,32.7
0.968,0.7,5.6,32.8
0.966,0.7,5.6,32.8
0.968,0.7,5.6,32.7
0.966,0.7,5.6,32.8
0.966,0.7,5.4,32.7
0.966,0.7,5.3,32.7
0.966,0.7,5.3,32.7
0.966,0.7,5.3,32.7
0.966,0.7,5.1,32.5
0.966,0.7,5.3,32.5
0.966,0.7,5.4,32.5
0.966,0.7,5.6,32.5
0.966,0.7,5.6,32.5
0.966,0.7,5.6,32.5
0.966,0.7,5.4,32.5
0.966,0.7,5.4,32.5
0.966,0.7,5.3,32.3
0.966,0.7,5.3,32.3
0.966,0.7,5.1,32.3
0.966,0.7,5.1,32.2
0.964,0.7,5.3,32.2
0.966,0.7,5.3,32.2
0.964,0.7,5.4,32.2
0.966,0.7,5.4,32.2
0.964,0.7,5.4,32.2
0.966,0.7,5.3,32.2
0.964,0.7,5.1,32.2
0.964,0.7,5.1,32.2
0.964,0.7,5.1,32.2
0.964,0.7,5.1,32.2
0.964,0.7,5.3,32.2
0.966,0.7,5.4,32.2
0.966,0.7,10.4,40
0.964,0.7,5.6,32.3
0.964,0.7,5.6,32.3
0.964,0.7,5.4,32.2
0.964,0.7,5.3,32.2
0.964,0.7,5.1,32.2
0.962,0.7,5.1,32
0.968,0.7,5.1,31.9
0.966,0.7,5.4,31.9
0.966,0.7,5.8,31.9
0.966,0.7,5.9,31.9
0.966,0.7,5.8,31.9
0.968,0.7,5.6,31.9
0.968,0.7,5.4,31.9
0.968,0.7,5.4,31.9
0.97,0.7,5.3,31.9
0.968,0.7,5.3,31.9
0.968,0.7,5.3,31.9
0.968,0.7,5.3,31.9
0.968,0.7,5.4,31.9
0.968,0.7,5.6,32
0.968,0.7,5.6,32
0.968,0.7,5.6,32
0.968,0.7,5.6,32
0.968,0.7,5.6,32
0.968,0.7,5.4,32
0.966,0.7,5.4,32
0.968,0.7,5.4,32
0.968,0.7,5.4,32
0.966,0.7,5.4,32
0.968,0.7,5.4,32
0.968,0.7,5.6,32
0.968,0.7,5.6,32
0.9,0.7,5.4,32
0.968,0.7,5.4,32
0.968,0.7,5.4,32
0.966,0.7,5.3,32
0.968,0.7,5.1,32
0.966,0.7,5.3,31.9
0.966,0.7,5.4,31.9
0.968,0.7,5.4,31.9
0.968,0.7,5.8,31.9
0.968,0.7,5.8,32
0.968,0.7,5.4,32
0.968,0.7,5.3,32
0.968,0.7,5.1,32
0.968,0.7,5.1,31.9
0.966,0.7,5.1,31.9
0.968,0.7,5.1,31.9
0.968,0.7,5.3,31.9
0.968,0.7,5.4,31.9
0.968,0.7,5.4,31.9
0.968,0.7,5.6,32
0.968,0.7,5.6,32
0.966,0.7,5.6,31.9
0.968,0.7,5.4,31.9
0.968,0.7,5.4,31.9
0.966,0.7,5.3,31.9
0.968,0.7,5.3,31.9
0.968,0.7,5.3,31.9
0.968,0.7,5.4,31.9
0.968,0.7,5.4,31.9
0.968,0.7,5.4,31.9
0.966,0.7,5.4,31.9
0.968,0.7,5.4,31.9
0.968,0.7,5.4,31.9
0.968,0.7,5.4,31.9
0.968,0.7,5.3,31.9
0.968,0.7,5.3,31.9
0.968,0.7,5.4,31.9
0.968,0.7,5.4,31.9
0.968,0.7,5.4,31.9
0.968,0.7,5.6,31.9
0.968,0.7,5.4,31.9
0.968,0.7,5.4,31.9
0.966,0.7,5.3,31.9
0.968,0.7,5.3,31.7
0.968,0.7,5.3,31.7
0.966,0.7,5.3,31.7
0.966,0.7,5.3,31.7
0.968,0.7,5.4,31.7
0.968,0.7,5.6,31.9
0.968,0.7,5.6,31.9
0.968,0.7,5.6,31.9
0.968,0.7,5.6,31.9
0.968,0.7,5.4,31.9
0.966,0.7,5.3,31.9
0.966,0.7,5.3,31.9
0.968,0.7,5.3,31.9
0.966,0.7,5.3,31.9
0.968,0.7,5.3,31.9
0.968,0.7,5.4,31.9
0.968,0.7,5.6,31.9
0.968,0.7,5.6,32
0.968,0.7,5.6,31.9
0.966,0.7,5.4,31.9
0.968,0.7,5.4,32
0.966,0.7,5.3,31.9
0.968,0.7,5.3,31.9
0.966,0.7,5.3,32
0.966,0.7,5.3,32
